NAME:Cane Corso;ORIGINE:Italy;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,courageous,quiet,alert;TRAINABILITY:Indipendent;HEIGHT:Males 24-26in& Females 23-25in;WEIGHT:Males 45kg-50kg & Females 40-45kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Morderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:Not recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:bloat,hip-displaysia;DROOLING TENDANCY:Morderate-High
NAME:Russell terrier;ORIGINE:England;CLASS:terrier;SIZE:small;PERSONALITY:Alert, Inquisitive, Lively;TRAINABILITY:Agreeable;HEIGHT:10-12 inches;WEIGHT:9-15 pounds;LIFE EXPECTANCY:12-14 years;SHEDDING:Occasional;GROOMING REQUIREMENT:Weekly Brushing;ENERGY LEVEL:high;EXERCISE NEEDS:High;APARTMENT FRIENDLY:moderate;HEAT TOLERANCE:moderate;COLD TOLERANCE:moderate-high;HEALTH PROBLEMS:patellar luxation,deafness, and eye disease;DROOLING TENDANCY:low




NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
NAME:;ORIGINE:;CLASS;SIZE:;PERSONALITY:;TRAINABILITY:;HEIGHT:;WEIGHT:;LIFE EXPECTANCY:;SHEDDING:;GROOMING REQUIREMENT:;ENERGY LEVEL:;EXERCISE NEEDS:;APARTMENT FRIENDLY:;HEAT TOLERANCE:;COLD TOLERANCE:;HEALTH PROBLEMS:;DROOLING TENDANCY:
