NAME:Cane Corso;ORIGINE:Italy;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,courageous,quiet,alert;TRAINABILITY:Indipendent;HEIGHT:Males 24-26in& Females 23-25in;WEIGHT:Males 45kg-50kg & Females 40-45kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Morderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:High;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:Not recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:bloat,hip-displaysia;DROOLING TENDANCY:Morderate-High;image:canecorso.jpg
NAME:Doberman Pinscher;ORIGINE:Germany;CLASS:Working dog;SIZE:Large;PERSONALITY:loyal,obedient,energetic,alert;TRAINABILITY:Dependent;HEIGHT:Males 26-28in& Females 24-26in;WEIGHT:Males 40kg-45kg & Females 32-35kg;LIFE EXPECTANCY:10-12 years;SHEDDING:Moderate;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:Medium;EXERCISE NEEDS:Moderate;APARTMENT FRIENDLY:not recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Bad;HEALTH PROBLEMS:bloat,narcolepsy;DROOLING TENDANCY:Moderate-High;image:doberman.jpg
NAME:Shih Tzu;ORIGINE:China;CLASS:Companion dog;SIZE:Small;PERSONALITY:active,friendly,playful,social;TRAINABILITY:Independent;HEIGHT:Males 8-11in& Females 8-11in;WEIGHT:Males 4kg-7kg & Females 4-7kg;LIFE EXPECTANCY:10-16 years;SHEDDING:Moderate;GROOMING REQUIREMENT:High;ENERGY LEVEL:Low;EXERCISE NEEDS:Minimal;APARTMENT FRIENDLY:highly recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Good;HEALTH PROBLEMS:allergies,canine hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:shihtzu.jpg
NAME:Pomeranian;ORIGINE:Poland;CLASS:Companion dog;SIZE:Small;PERSONALITY:active,friendly,playful,social;TRAINABILITY:Independent;HEIGHT:Males 7-12in& Females 7-12in;WEIGHT:Males 1kg-3kg & Females 1-3kg;LIFE EXPECTANCY:12-16 years;SHEDDING:Moderate;GROOMING REQUIREMENT:Moderate;ENERGY LEVEL:Medium;EXERCISE NEEDS:Low;APARTMENT FRIENDLY:highly recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:allergies,epilepsy;DROOLING TENDANCY:Low-Moderate;image:pomeranian.jpg
NAME:Dalmatian;ORIGINE:United Kingdom;CLASS:Companion dog;SIZE:Medium;PERSONALITY:active,friendly,playful,energetic;TRAINABILITY:Independent;HEIGHT:Males 22-24in& Females 20-22in;WEIGHT:Males 25kg-30kg & Females 25-30kg;LIFE EXPECTANCY:12-14 years;SHEDDING:High;GROOMING REQUIREMENT:Low;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:not recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Good;HEALTH PROBLEMS:allergies,hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:dalmation.jpg
NAME:Pug;ORIGINE:China;CLASS:Companion dog;SIZE:Small;PERSONALITY:loyal,friendly,playful,courageous;TRAINABILITY:Independent;HEIGHT:Males 12-14in& Females 10-12in;WEIGHT:Males 6kg-9kg & Females 6-8kg;LIFE EXPECTANCY:12-15 years;SHEDDING:High;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:Medium;EXERCISE NEEDS:Low;APARTMENT FRIENDLY:highly recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Bad;HEALTH PROBLEMS:allergies,epilepsy;DROOLING TENDANCY:Low-Moderate;image:pug.jpg
NAME:Chihuahua;ORIGINE:Mexico;CLASS:Companion dog;SIZE:Small;PERSONALITY:lively,devoted,intelligent,alert;TRAINABILITY:Independent;HEIGHT:Males 6-9in& Females 6-8in;WEIGHT:Males 1kg-3kg & Females 1-3kg;LIFE EXPECTANCY:14-18 years;SHEDDING:Minimal;GROOMING REQUIREMENT:Minimal;ENERGY LEVEL:Medium;EXERCISE NEEDS:Low;APARTMENT FRIENDLY:highly recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Bad;HEALTH PROBLEMS:shivering,patellar luxation;DROOLING TENDANCY:Low-Moderate;image:chihuahua.jpg
NAME:Newfoundland;ORIGINE:United Kingdom;CLASS:Working dog;SIZE:Giant;PERSONALITY:loyal,courageous,gentle,social;TRAINABILITY:Dependent;HEIGHT:Males 27-29in& Females 25-27in;WEIGHT:Males 59kg-68kg & Females 45-54kg;LIFE EXPECTANCY:9-12 years;SHEDDING:High;GROOMING REQUIREMENT:High;ENERGY LEVEL:Medium;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:cataracts,hip-dysplasia;DROOLING TENDANCY:High;image:newfoundland.jpg
NAME:St Bernard;ORIGINE:Italy;CLASS:Working dog;SIZE:Giant;PERSONALITY:independent,friendly,quiet,social;TRAINABILITY:Highly Dependent;HEIGHT:Males 25.5-27.5in& Females 25.5-27in;WEIGHT:Males 50kg-91kg & Females 50-91kg;LIFE EXPECTANCY:8-10 years;SHEDDING:High;GROOMING REQUIREMENT:Moderate;ENERGY LEVEL:Medium;EXERCISE NEEDS:Medium;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:bloat,hip-dysplasia;DROOLING TENDANCY:High;image:saintbernard.jpg
NAME:Samoyed;ORIGINE:Russia;CLASS:Working dog;SIZE:Medium;PERSONALITY:stubborn,friendly,playful,social;TRAINABILITY:Independent;HEIGHT:Males 21-23.5in& Females 19-21in;WEIGHT:Males 20.5kg-30kg & Females 16-20.5kg;LIFE EXPECTANCY:12-14 years;SHEDDING:High;GROOMING REQUIREMENT:High;ENERGY LEVEL:High;EXERCISE NEEDS:High;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Bad;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:diabetes mellitus,hip-dysplsia;DROOLING TENDANCY:Low-Moderate;image:samoyed.jpg
NAME:Chow Chow;ORIGINE:China;CLASS:Companion dog;SIZE:Medium;PERSONALITY:loyal,aloof,protective,detached;TRAINABILITY:Highly Dependent;HEIGHT:Males 18-22in& Females 18-22in;WEIGHT:Males 20kg-32kg & Females 20-32kg;LIFE EXPECTANCY:13-15 years;SHEDDING:High;GROOMING REQUIREMENT:High;ENERGY LEVEL:Low;EXERCISE NEEDS:Low;APARTMENT FRIENDLY:recommended;HEAT TOLERANCE:Good;COLD TOLERANCE:Very Good;HEALTH PROBLEMS:entropian,canine hip-dysplasia;DROOLING TENDANCY:Low-Moderate;image:chowchow.jpg
NAME:Tibetian Mastiff;ORIGINE:Tibet;CLASS:Working dog;SIZE:large;PERSONALITY:alert, responsive;TRAINABILITY:independant;HEIGHT:males 26in and Females 24in;WEIGHT:90-150 pounds (male), 70-120 pounds (female);LIFE EXPECTANCY:10-12 years;SHEDDING:seasonal;GROOMING REQUIREMENT:moderate;ENERGY LEVEL:High;EXERCISE NEEDS:regular exercise;APARTMENT FRIENDLY:not recommeded;HEAT TOLERANCE:Low;COLD TOLERANCE:good;HEALTH PROBLEMS:Hip Evaluation,Thyroid Evaluation to be done;DROOLING TENDANCY:moderate;image:tibetianmastiff.jpg
NAME:Russell terrier;ORIGINE:England;CLASS:terrier;SIZE:small;PERSONALITY:Alert, Inquisitive, Lively;TRAINABILITY:Agreeable;HEIGHT:10-12 inches;WEIGHT:9-15 pounds;LIFE EXPECTANCY:12-14 years;SHEDDING:Occasional;GROOMING REQUIREMENT:Weekly Brushing;ENERGY LEVEL:high;EXERCISE NEEDS:High;APARTMENT FRIENDLY:moderate;HEAT TOLERANCE:moderate;COLD TOLERANCE:moderate-high;HEALTH PROBLEMS:patellar luxation,deafness, and eye disease;DROOLING TENDANCY:low;image:russelterrier.jpg
